()

------ PROCESSES AND THREADS (ps -A -T -Z -O pri,nice,rtprio,sched,pcy,time) ------
LABEL                          USER           PID   TID  PPID     VSZ    RSS WCHAN            ADDR S PRI  NI RTPRIO SCH PCY     TIME CMD            
u:r:kernel:s0                  root           952   952     2       0      0 0                   0 S  19   0      -   0  fg 00:00:24 cfinteractive
u:r:kernel:s0                  root           953   953     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 mptcp_wq
u:r:kernel:s0                  root           988   988     2       0      0 0                   0 S  19   0      -   0  fg 00:00:09 kswapd0
u:r:kernel:s0                  root           989   989     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 vmstat
u:r:kernel:s0                  root          1054  1054     2       0      0 0                   0 S  19   0      -   0  fg 00:00:00 fsnotify_mark
u:r:kernel:s0                  root          1074  1074     2       0      0 0                   0 S  19   0      -   0  fg 00:00:00 ecryptfs-kthrea
u:r:kernel:s0                  root          1154  1154     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 pcie_wq
u:r:kernel:s0                  root          1156  1156     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 disp_det
u:r:kernel:s0                  root          1210  1210     2       0      0 0                   0 S  19   0      -   0  fg 00:00:01 hwrng
u:r:kernel:s0                  root          1212  1212     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 g3d_dvfs
u:r:kernel:s0                  root          1214  1214     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 kbase_job_fault
u:r:kernel:s0                  root          1218  1218     2       0      0 0                   0 S  19   0      -   0  fg 00:00:00 coagent1
u:r:kernel:s0                  root          1222  1222     2       0      0 0                   0 S  90   0     50   1  fg 00:00:00 irq/286-muic-ir
u:r:kernel:s0                  root          1226  1226     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 bioset
u:r:kernel:s0                  root          1227  1227     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 bioset
u:r:kernel:s0                  root          1228  1228     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 bioset
u:r:kernel:s0                  root          1229  1229     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 bioset
u:r:kernel:s0                  root          1230  1230     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 bioset
u:r:kernel:s0                  root          1231  1231     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 bioset
u:r:kernel:s0                  root          1233  1233     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 bioset
u:r:kernel:s0                  root          1234  1234     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 bioset
u:r:kernel:s0                  root          1235  1235     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 bioset
u:r:kernel:s0                  root          1236  1236     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 bioset
u:r:kernel:s0                  root          1237  1237     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 bioset
u:r:kernel:s0                  root          1238  1238     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 bioset
u:r:kernel:s0                  root          1239  1239     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 bioset
u:r:kernel:s0                  root          1240  1240     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 bioset
u:r:kernel:s0                  root          1241  1241     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 bioset
u:r:kernel:s0                  root          1242  1242     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 bioset
u:r:kernel:s0                  root          1276  1276     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 bioset
u:r:kernel:s0                  root          1279  1279     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 bioset
u:r:kernel:s0                  root          1282  1282     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 bioset
u:r:kernel:s0                  root          1285  1285     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 bioset
u:r:kernel:s0                  root          1288  1288     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 bioset
u:r:kernel:s0                  root          1291  1291     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 bioset
u:r:kernel:s0                  root          1294  1294     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 bioset
u:r:kernel:s0                  root          1297  1297     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 bioset
u:r:kernel:s0                  root          1353  1353     2       0      0 0                   0 S  90   0     50   1  fg 00:00:00 irq/287-madera
u:r:kernel:s0                  root          1363  1363     2       0      0 0                   0 S  90   0     50   1  fg 00:00:13 irq/290-sec-nfc
